sp,x,y,CV_TEMP,DRAINAGE_DENS,DS_AVGRIPTRECOV,DS_AVGSLOPE,DS_MINCOLDP_TEMP,MAXWARMP_TEMP,MEAN_MRVBF,NONATVEG,SLOPE_PERCENT,TOTLENGTH_UCA,TRECOV,UC_CV_PPT,UC_RIP_TRECOV,UC_ROAD_DENS,UC_SOLDEPTH,UC_TWI,UCWARMQT_PPT,US_MAXSLOPE,RIV
bg,10087,10087,1.6756,1.7643,0.3886,0.1576,2.4728,27.7681,0.0893,0.5479,5.7612,5.3854,0.3267,26.705,0.4147,0.9565,0.9,9.8104,129.8249,21.969,1
bg,10088,10088,1.6885,1.9702,0.498,0.5111,0.8695,16.9572,0,0,20.1046,0.4011,0.9666,34.6523,1,0,1.2,9.4906,343.2809,20.1046,4
bg,10089,10089,1.8427,1.8512,0.5517,0.0756,2.3849,29.8335,0.3721,0,4.0016,2.8398,0.8847,25.8389,0.8749,1.257,0.9,9.1991,137.0115,24.2889,1
bg,10090,10090,1.69,0.5544,0.4373,0.0469,2.9941,29.2952,1.7064,1,2.0258,0.1477,0,21,0,0,0.9,12.5951,94.9895,2.0258,3
bg,10091,10091,1.5015,1.2045,0.4348,0.2046,2.3816,24.2645,0.0028,0,23.4809,0.159,1,32.3667,1,0.192,1.2,7.6946,220.9273,44.4477,1
bg,10092,10092,1.8566,1.8879,0.1792,0.1577,1.718,29.2163,0.1055,0,3.9192,4.765,1,24.4971,0.8418,0.2129,0.9,8.7172,170.7837,22.6821,4
bg,10093,10093,1.64,2.2483,0.7865,0.3901,1.9099,26.9917,0.422,0,0.6654,91.8243,1,33.094,0.9958,0.6637,1.2,8.3275,210.6848,69.4072,4
bg,10094,10094,1.7307,2.165,0.531,0.0744,2.4036,29.3088,0.1625,0.0513,2.5714,4.0469,0.9487,32.2183,1,5.4412,0.9,8.6864,168.4866,17.7361,1
bg,10095,10095,0,2.0337,0.8462,0.0173,2.4471,0,0,0,0.2726,2594.0549,0,26.198,0.6271,1.3993,1.0221,9.5892,163.2405,74.5266,1
bg,10096,10096,1.85,3.0642,0.4153,0.2015,2.0941,30.1931,0.6296,0.2258,5.7524,1.2588,0.258,27.9679,0.343,0,0.9,9.2751,161.6699,7.6665,4
bg,10097,10097,1.69,1.2061,0.6108,0.1411,2.4579,28.4786,0.5569,0.4046,2.872,0.3363,0.5897,24.7174,0.3794,1.5667,0.9,9.4404,143.9354,10.831,1
bg,10098,10098,1.6994,1.923,0.6494,0.1782,2.4527,27.6237,0.0839,0,7.6537,19.102,1,30.7069,1,0.7346,1.1619,9.1853,178.5965,51.3773,1
bg,10099,10099,1.67,1.7399,0.731,0.0938,2.9863,29.3437,1.6628,0.9423,0.9884,0.9535,0.0131,24.8555,0.0171,0.5365,0.9,11.0615,89.7818,1.5538,2
bg,10100,10100,1.7976,2.0181,0.3581,0.1653,1.8058,29.2412,0.1117,0,6.1044,7.4281,1,29.8468,1,0,0.9,8.0589,185.0514,23.869,4
bg,10101,10101,1.6633,1.6502,0.7849,0.761,1.5903,26.2828,0.0374,0,12.8305,3.7368,1,34.8885,1,0.2733,1.2,8.1494,219.3567,43.4852,4
bg,10102,10102,1.6272,2.1355,0.4996,0.3048,0.8733,22.6529,0.1917,0,0.8231,74.2737,1,16.0706,1,0.3288,1.2,9.3114,254.3402,24.0865,4
bg,10103,10103,1.66,1.0416,0.4989,0.1205,2.8975,27.9177,1.0631,0.9219,1.3559,3.2495,0.011,24.8314,0.0389,0.8576,1.0217,11.6927,111.0826,2.7525,3
bg,10104,10104,1.55,1.1061,0.7609,0.057,3.0567,28.5858,2.7304,0.561,0.6638,0.4929,0.2432,33.8232,0,2.6159,1.3,12.8383,87.9704,0.8745,2
bg,10105,10105,1.93,2.0069,0.6282,0.8513,2.128,30.8893,2.688,0.5088,0.6986,3.195,0.3913,22,0.4181,6.926,0.9,11.2672,135.9862,2.4412,4
bg,10106,10106,1.76,1.6213,0.2295,0.0739,2.3574,29.8329,1.9221,0.0588,1.1216,0.8814,0.9188,17.4982,0.9266,4.2132,1,11.2351,107.4018,2.3118,1
bg,10107,10107,1.6829,2.2987,0.0233,2.7352,2.1412,28.3654,0.4789,0.6494,2.3749,3.1906,0.013,26.2611,0.2588,0,0.9,8.5916,145.3323,8.7866,1
bg,10108,10108,1.78,1.8629,0.5802,0.4474,1.7272,29.563,1.9395,0.0978,2.4984,0.7958,0,30.2818,0,0,0.9,10.3554,166.9026,48.8215,4
bg,10109,10109,1.48,1.1471,0.7307,0.0973,3.0576,26.8629,0.9458,0.5493,2.4386,0.5956,0.0686,25,0.0972,1.0628,0.9,10.4466,105.9515,2.4386,2
bg,10110,10110,1.55,1.9278,0.4044,0.2352,2.419,23.9103,0.0462,0,6.6334,13.1505,1,32.2875,1,0.3587,1.2,8.0761,220.1163,55.321,1
bg,10111,10111,1.77,1.8993,0.0299,0.0038,2.5103,30.0394,1.2933,0.8186,0,763.9128,0.0065,24.8411,0.5961,1.3968,0.9995,10.0964,154.138,74.5266,1
